Category,Product Name,Product Price,Per Unit Price,URL
El-Mercado,Zanahoria Carrefour 1 kg,"0,65 €","0,65 €/kg",https://www.carrefour.es/supermercado/zanahoria-carrefour-1-kg/R-fprod1410012/p
El-Mercado,Banana a granel 1 Kg aprox,"1,19 €","0,89 €/kg",https://www.carrefour.es/supermercado/zanahoria-carrefour-1-kg/R-fprod1410012/p
El-Mercado,Cebolla Carrefour 1 Kg,"1,49 €","1,19 €/kg",https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox-carrefour/R-529921745/p
El-Mercado,Calabacín Carrefour a granel 1 kg aprox,"2,15 €","1,49 €/kg",https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox-carrefour/R-529921745/p
El-Mercado,Plátano de Canarias Carrefour 1 Kg aprox,"1,29 €","2,15 €/kg",https://www.carrefour.es/supermercado/cebolla-carrefour-1-kg-carrefour/R-521032276/p
El-Mercado,Patata lavada Carrefour 5 Kg,"1,45 €","0,79 €/kg",https://www.carrefour.es/supermercado/cebolla-carrefour-1-kg-carrefour/R-521032276/p
El-Mercado,Pimiento verde Italiano 500 g,"1,61 €","2,58 €/kg",https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-431967/p
El-Mercado,Ajo Calidad y Origen Carrefour 250 g,"1,65 €","5,80 €/kg",https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-431967/p
El-Mercado,Puerro manojo de 500 g,"2,15 €","3,22 €/kg",https://www.carrefour.es/supermercado/platano-de-canarias-carrefour-1-kg-aprox-carrefour/R-fprod1320278/p
El-Mercado,Naranja 4 kg,"1,39 €","0,75 €/kg",https://www.carrefour.es/supermercado/platano-de-canarias-carrefour-1-kg-aprox-carrefour/R-fprod1320278/p
El-Mercado,Cebolla 2 Kg,"1,20 €","0,82 €/kg",https://www.carrefour.es/supermercado/patata-lavada-carrefour-5-kg-carrefour/R-525888361/p
El-Mercado,Tomate rama Carrefour 1 Kg aprox,"3,20 €","1,35 €/kg",https://www.carrefour.es/supermercado/patata-lavada-carrefour-5-kg-carrefour/R-525888361/p
El-Mercado,Uva blanca sin pepitas Carrefour bandeja 500 g,"4,98 €","4,30 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-italiano-500-g/R-527030823/p
El-Mercado,Judía verde plana Cat 1ª malla 500 g,"0,72 €","2,78 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-italiano-500-g/R-527030823/p
El-Mercado,Queso mozzarella rallada Carrefour 200 g.,"1,55 €","6,00 €/kg",https://www.carrefour.es/supermercado/ajo-calidad-y-origen-carrefour-250-g-calidad-y-origen-carrefour/R-521031667/p
El-Mercado,Pechuga de pollo fileteada Roler 320 g,"0,95 €","3,20 €/ud",https://www.carrefour.es/supermercado/ajo-calidad-y-origen-carrefour-250-g-calidad-y-origen-carrefour/R-521031667/p
El-Mercado,Kiwi Zespri 1 Kg aprox,"1,11 €","2,99 €/kg",https://www.carrefour.es/supermercado/puerro-manojo-de-500-g/R-521032287/p
El-Mercado,Mandarina Carrefour a granel 500 g aprox,"1,85 €","1,29 €/kg",https://www.carrefour.es/supermercado/puerro-manojo-de-500-g/R-521032287/p
El-Mercado,"Pimiento tricolor, rojo, verde, amarillo 500 g","1,65 €","2,00 €/kg",https://www.carrefour.es/supermercado/pimiento-tricolor-rojo-verde-amarillo-500-g/R-521032230/p
