"Restaurant Name	",Business Vertical,Tags,Competitor,Opening Hours,City Code,City Name,Address,Country,lat,lng,Google_id,Google_reviews,Google_grade,Google_maps_url,phone,created_at,updated_at
Pizza Hut Mosilor,meal_delivery,"meal_takeaway,restaurant,food,point_of_interest,establishment",Tazz,11:00-21:30,BUC,București,"Calea Moșilor 219, București 030167, Romania",Romania,44.4434259,26.1188438,ChIJZV-CZDP_sUARjiGIKDSO20I,4.2,1453,https://maps.google.com/?cid=4817600581072331150,+40 740 121 902,27/07/2020 23:25:14,27/07/2020 23:25:14
Pizza Hut Delta,meal_delivery,"meal_takeaway,restaurant,food,point_of_interest,establishment",Tazz,11:00-21:30,BUC,București,"Bulevardul Regina Elisabeta 15-19, BucureÈ™ti 050017, Romania",Romania,44.4346605,26.0986008,ChIJlzjN2ED_sUARmcNv-tmyp-o,4,3662,https://maps.google.com/?cid=16908679975265092505,+40 740 121 903,27/07/2020 23:25:17,27/07/2020 23:25:17
Decathlon Baneasa,point_of_interest,"store,establishment",Tazz,09:30-21:30,BUC,București,"Șoseaua București-Ploiești 83-85-87, București 013685, Romania",Romania,44.5062811,26.0805686,ChIJP1lf9uICskARCt8fqSkeKl8,4.5,8558,https://maps.google.com/?cid=6857326546904932106,+40 372 273 641,27/07/2020 23:25:19,27/07/2020 23:25:19
Fior di latte,restaurant,"food,point_of_interest,establishment",Tazz,08:00-22:00,BUC,București,"Bulevardul Primăverii 19-21, București 014192, Romania",Romania,44.468025,26.0893556,ChIJTUL46w0CskARhzUMgxVNX50,4.5,626,https://maps.google.com/?cid=11339867141530465671,+40 784 420 555,27/07/2020 23:25:20,27/07/2020 23:25:20
City Grill Primaverii,restaurant,"food,point_of_interest,establishment",Tazz,10:00-20:30,BUC,București,"Bulevardul Primăverii 3, București 011974, Romania",Romania,44.4670401,26.0877354,ChIJNUcvhUD_sUARdaVH5Sf2h7k,4.2,2547,https://maps.google.com/?cid=13368924670083442037,+40 726 626 262,27/07/2020 23:25:22,27/07/2020 23:25:22
Pizza Hut Romana,meal_delivery,"meal_takeaway,restaurant,food,point_of_interest,establishment",Tazz,11:00-21:30,BUC,București,"Calea Dorobanți 5, București 030167, Romania",Romania,44.446733,26.098662,ChIJzaQCiU3_sUARiU-dKh4qiqc,4.2,2637,https://maps.google.com/?cid=12072508060172373897,+40 740 121 901,27/07/2020 23:25:23,27/07/2020 23:25:23
Sara Green Victoriei,restaurant,"food,point_of_interest,establishment",Tazz,10:30-20:30,BUC,București,"Calea Victoriei 153, BucureÈ™ti, Romania",Romania,44.4503795,26.0866717,ChIJ_UvNGlX_sUARtIUjrZBsZ-M,4.7,244,https://maps.google.com/?cid=16386185137846715828,+40 774 962 246,27/07/2020 23:25:25,27/07/2020 23:25:25
Taverna Sarbului,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Strada Tipografilor 31, București, Romania",Romania,44.4828167,26.0675999,ChIJNUcvhUD_sUAR6EsjYSSXbJU,4.3,3707,https://maps.google.com/?cid=10767146991640333288,+40 727 353 353,27/07/2020 23:25:26,27/07/2020 23:25:26
Taco Bell Mega Mall,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Bulevardul Pierre de Coubertin 3-5, BucureÈ™ti 021901, Romania",Romania,44.4424096,26.1517277,ChIJS0P40y35sUAR_bgmTPfQj2s,4.1,1237,https://maps.google.com/?cid=7750643244281018621,+40 21 203 9000,27/07/2020 23:25:27,27/07/2020 23:25:27
Taco Bell Park Lake,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Park Lake, Strada Liviu Rebreanu 4, BucureÈ™ti 031783, Romania",Romania,44.4206189,26.1500338,ChIJnfzonc3_sUARsSdZyGSozvc,4.2,766,https://maps.google.com/?cid=17856394723382077361,+40 21 203 9000,27/07/2020 23:25:31,27/07/2020 23:25:31
King Rolls,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Calea Vitan 17A, BucureÈ™ti 031297, Romania",Romania,44.4227707,26.1240522,ChIJY_ccQuD-sUAR_MaXRY43OhU,4.4,314,https://maps.google.com/?cid=1529596107638163196,+40 31 425 8101,27/07/2020 23:25:32,27/07/2020 23:25:32
Taco Bell Cotroceni,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Bulevardul General Vasile Milea 4, BucureÈ™ti 061344, Romania",Romania,44.4303476,26.0526707,ChIJN0OXC80BskARtjBvdMTmBnA,4.3,1262,https://maps.google.com/?cid=8072393113549615286,+40 758 117 688,27/07/2020 23:25:34,27/07/2020 23:25:34
Paul Universitate,restaurant,"food,point_of_interest,establishment",Tazz,10:00-18:30,BUC,București,"Bulevardul Regina Elisabeta 15-19, BucureÈ™ti 030167, Romania",Romania,44.4347028,26.0988578,ChIJ18OSCE7_sUARVBcgy3pM-s8,4.3,1307,https://maps.google.com/?cid=14986374800306345812,+40 751 090 515,27/07/2020 23:25:37,27/07/2020 23:25:37
Alouette Bistro,restaurant,"food,point_of_interest,establishment",Tazz,11:00-20:45,BUC,București,"Strada Bibescu Vodă 19, București 030167, Romania",Romania,44.4252757,26.1023951,ChIJT4scxxb_sUARYMInVuNCrfE,4.5,1346,https://maps.google.com/?cid=17414648878282031712,+40 746 339 793,27/07/2020 23:25:38,27/07/2020 23:25:38
Paul Dorobanti,bakery,"food,point_of_interest,store,establishment",Tazz,10:00-19:30,BUC,București,"Strada Locotenent Aviator Radu Beller 1, BucureÈ™ti, Romania",Romania,44.4607388,26.094258,ChIJNeQd3wcCskAR5rQV1yth3wU,4.4,612,https://maps.google.com/?cid=423163730916127974,+40 754 081 775,27/07/2020 23:25:40,27/07/2020 23:25:40
McDonald`s Prisma,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Șoseaua București-Ploiești Km. 20, Balotești 077015, Romania",Romania,44.6024444,26.0709575,ChIJV5_5f8MbskARaKOenVOyxfU,3.9,2630,https://maps.google.com/?cid=17709757181900792680,+40 372 700 543,27/07/2020 23:25:41,27/07/2020 23:25:41
