Restaurant Name,URL,Reviews,Tags,Created_at(date),Created_at(time)
KFC Mombasa Road,https://food.jumia.co.ke/restaurant/k9xc/kfc-mombasa-road,4.8,Chicken,31/07/2020,15:07:30
Jumia Party,https://food.jumia.co.ke/restaurant/k0zt/jumia-party,4.8,Alcoholic Drinks,31/07/2020,15:07:30
KFC - Langata,https://food.jumia.co.ke/restaurant/k1ki/kfc-langata,4.8,Burger  Chicken,31/07/2020,15:07:30
Big Square- Moi Avenue,https://food.jumia.co.ke/restaurant/k4tk/big-square-moi-avenue,4.7,Burger,31/07/2020,15:07:32
Black Gold (The Panari Hotel),https://food.jumia.co.ke/restaurant/k2zp/black-gold-the-panari-hotel,4.8,Burger  Pizza  Sandwiches  Continental,31/07/2020,15:07:32
KFC Mombasa Road,https://food.jumia.co.ke/restaurant/k9xc/kfc-mombasa-road,4.8,Chicken,31/07/2020,15:07:32
Jumia Party,https://food.jumia.co.ke/restaurant/k0zt/jumia-party,4.8,Alcoholic Drinks,31/07/2020,15:07:32
KFC - Langata,https://food.jumia.co.ke/restaurant/k1ki/kfc-langata,4.8,Burger  Chicken,31/07/2020,15:07:32
KFC Southfield,https://food.jumia.co.ke/restaurant/k8lr/kfc-southfield,4.8,Chicken,31/07/2020,15:07:32
KFC Junction,https://food.jumia.co.ke/restaurant/k3vg/kfc-junction,4.7,Chicken,31/07/2020,15:07:32
KFC - Buruburu,https://food.jumia.co.ke/restaurant/k7oh/kfc-buruburu,4.9,Chicken,31/07/2020,15:07:32
KFC Limuru Road,https://food.jumia.co.ke/restaurant/k2gf/kfc-limuru-road,4.8,Chicken,31/07/2020,15:07:32
KFC Lavington,https://food.jumia.co.ke/restaurant/k3gf/kfc-lavington,4.8,Chicken,31/07/2020,15:07:32
KFC Woodvale,https://food.jumia.co.ke/restaurant/k7ei/kfc-westlands,4.7,Chicken,31/07/2020,15:07:32
KFC Waiyaki Way Drive Thru,https://food.jumia.co.ke/restaurant/k8uf/kfc-waiyaki-way-drive-thru,4.8,Chicken,31/07/2020,15:07:32
KFC Galleria Mall,https://food.jumia.co.ke/restaurant/k2gs/kfc-galleria-mall,4.8,Chicken,31/07/2020,15:07:32
KFC Village Market,https://food.jumia.co.ke/restaurant/k0ja/kfc-village-market,4.8,Burger  Chicken,31/07/2020,15:07:32
Burger King - Lavington,https://food.jumia.co.ke/restaurant/k2ek/burger-king-lavington,4.6,Burger,31/07/2020,15:07:32
KFC Northview,https://food.jumia.co.ke/restaurant/k3hv/kfc-northview,4.8,Alcoholic Drinks  Burger  Chicken,31/07/2020,15:07:32
KFC - Jubilee,https://food.jumia.co.ke/restaurant/k0dj/kfc-jubilee,4.9,Chicken,31/07/2020,15:07:33
KFC Kimathi Street,https://food.jumia.co.ke/restaurant/k0rm/kfc-kimathi-street,4.8,Chicken,31/07/2020,15:07:33
KFC The Hub,https://food.jumia.co.ke/restaurant/k8es/kfc-the-hub,4.8,Chicken,31/07/2020,15:07:33
CJ's CBD,https://food.jumia.co.ke/restaurant/k3yg/cj-s,4.6,Burger  Desserts  Pizza  Salad  Sandwiches  Continental,31/07/2020,15:07:33
Burger King - Nextgen,https://food.jumia.co.ke/restaurant/k5hn/burger-king-nextgen,4.6,Chicken  Milkshakes  Burger,31/07/2020,15:07:33
Chakula Chap Chap - Westlands,https://food.jumia.co.ke/restaurant/k8cu/chakula-chap-chap-westlands,5,Chicken  Indian,31/07/2020,15:07:33
Chicken Inn - Ambassador,https://food.jumia.co.ke/restaurant/k6zm/chicken-inn-ambassador,5,Burger  Chicken,31/07/2020,15:07:33
Burger King - TRM,https://food.jumia.co.ke/restaurant/k4hu/burger-king-trm,4.7,Burger,31/07/2020,15:07:33
Pizza Inn - Bellevue,https://food.jumia.co.ke/restaurant/k0ew/pizza-inn-bellevue,4.6,Pizza,31/07/2020,15:07:33
Big Square - Mombasa Road,https://food.jumia.co.ke/restaurant/k9bm/big-square-mombasa-road,4.7,Burger  Chicken  Barbeque,31/07/2020,15:07:33
Java House Prestige,https://food.jumia.co.ke/restaurant/k6nf/java-house-ngong-road,4.6,Continental  Chicken,31/07/2020,15:07:33
Artcaffe Capital Center,https://food.jumia.co.ke/restaurant/k0un/artcaffe-capital-center,4.6,Burger  Continental  Salad  Sandwiches  Cakes & Pastries,31/07/2020,15:07:33
Chicken Inn-Ngong Road,https://food.jumia.co.ke/restaurant/k1tu/chicken-inn-ngong-road,4.6,Burger  Chicken,31/07/2020,15:07:33
Mama Rocks - Kilimani,https://food.jumia.co.ke/restaurant/k3hp/mama-rocks-kilimani,4.7,African  Burger,31/07/2020,15:07:33
Artcaffe - Valley Arcade,https://food.jumia.co.ke/restaurant/k8rh/artcaffe-valley-arcade,4.6,Burger  Cakes & Pastries  Salad  Sandwiches  Continental,31/07/2020,15:07:33
Marita's Bhajias - Kilimani,https://food.jumia.co.ke/restaurant/k1rc/marita-s-bhajias-kilimani,4.6,Continental  Indian  Chicken,31/07/2020,15:07:33
Subway - Westlands,https://food.jumia.co.ke/restaurant/k2sw/subway-westlands,4.7,Salad  Sandwiches,31/07/2020,15:07:33
Subway - Junction,https://food.jumia.co.ke/restaurant/k7nu/subway-junction,4.7,Salad  Sandwiches,31/07/2020,15:07:33
Ohcha Noodle Bar - Junction,https://food.jumia.co.ke/restaurant/k0eq/ohcha-noodle-bar-junction,4.6,Chinese  Thai,31/07/2020,15:07:33
Java House - Sarit,https://food.jumia.co.ke/restaurant/k7oe/java-sarit,4.6,Continental  Chicken,31/07/2020,15:07:33
Chicken Inn - Westlands,https://food.jumia.co.ke/restaurant/k9be/chicken-inn-westlands,4.6,Burger  Chicken,31/07/2020,15:07:33
Chicken Inn-South B,https://food.jumia.co.ke/restaurant/k1rp/chicken-inn-south-b,4.6,Chicken,31/07/2020,15:07:34
Burger King- Two rivers,https://food.jumia.co.ke/restaurant/k1vu/burger-king-two-rivers,4.7,Chicken  Burger,31/07/2020,15:07:34
Galito's -Ngong road,https://food.jumia.co.ke/restaurant/k0uw/galito-s-ngong-road,4.6,Chicken,31/07/2020,15:07:34
Burger King - The Hub,https://food.jumia.co.ke/restaurant/k3mo/burger-king-the-hub,4.6,Burger,31/07/2020,15:07:34
Bbrood -Sarit Centre,https://food.jumia.co.ke/restaurant/k8gk/bbrood-sarit-centre,4.7,Cakes & Pastries,31/07/2020,15:07:34
Chinese Kitchen & Dim Sum House,https://food.jumia.co.ke/restaurant/k9yk/chinese-kitchen-dim-sum-house,4.3,Chicken  Seafood  Chinese,31/07/2020,15:07:34
Mama Rocks - Westlands,https://food.jumia.co.ke/restaurant/k3bt/mama-rocks-westlands,4.6,African  Burger,31/07/2020,15:07:34
Bbrood -Adlife Plaza,https://food.jumia.co.ke/restaurant/k9xm/bbrood-adlife-plaza,4.8,Cakes & Pastries,31/07/2020,15:07:34
Chicken Inn - Langata Road,https://food.jumia.co.ke/restaurant/k7hr/chicken-inn-langata-road,4.6,Chicken,31/07/2020,15:07:34
Wok On Wheels,https://food.jumia.co.ke/restaurant/k4bn/wok-on-wheels-ltd,4.7,Chinese,31/07/2020,15:07:34
