Restaurant Name,URL,Tag,Reviews,Delivery Time,Delivery  Cost,Min Order,Created_at,Updated_at
Tokyo 2 Go,https://www.pyszne.pl/menu/tokyo-2-go,"Chińska, Sushi, Dania na lunch",4031,Od 12:00,"10,00 zł","Min. 40,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
"Kaya Sushi, Teppanyaki & Steak House",https://www.pyszne.pl/menu/kaya-sushi-teppanyaki-steak-house,"Sushi, Japońska, Sałatki",308,Od 12:00,"10,00 zł","Min. 20,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Maxi Pizza,https://www.pyszne.pl/menu/maxi-pizza-tychy,"Burgery, Makarony, Pizza",1126,ok.40min,GRATIS,"Min. 20,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Ristorante Osteria Le Botti,https://www.pyszne.pl/menu/ristorante-osteria-le-botti,"Włoska, Makarony, Pizza",624,Od 11:00,"5,00 zł","Min. 40,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Pizza Dominium,https://www.pyszne.pl/menu/pizza-dominium-jana-pawla-tychy,"Włoska, Dania na lunch, Pizza",216,Od 11:00,GRATIS,"Min. 32,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Pizzeria Mafiosso,https://www.pyszne.pl/menu/pizzeria-mafiosso,"Turecka, Pizza",325,Od 11:00,"3,00 zł","Min. 20,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Restauracja Pod Sikorką,https://www.pyszne.pl/menu/pod-sikorka,"Polska, Dania na lunch",39,Od 12:00,"10,00 zł","Min. 50,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Nocna Pizza Katowice,https://www.pyszne.pl/menu/nocna-pizza-katowice,"Włoska, Pizza, Sałatki",1308,Od 21:00,"25,00 zł","Min. 75,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Kebab Izmir,https://www.pyszne.pl/menu/kebab-izmir,"Turecka, Burgery, Kebab",298,Od 11:00,"8,00 zł","Min. 20,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
City Pizza,https://www.pyszne.pl/menu/city-pizza-krakowska,"Włoska, Dania na lunch, Pizza",298,Od 12:00,"18,00 zł","Min. 40,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Da Grasso,https://www.pyszne.pl/menu/da-grasso-tychy,"Burgery, Makarony, Pizza",752,Od 11:00,"7,00 zł","Min. 1,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Misz Masz Sushi & Bistro,https://www.pyszne.pl/menu/misz-masz-sushi-bistro,"Sushi, Tajska, Burgery",277,Od 12:30,"5,00 zł","Min. 42,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Pizzeria u Batmana,https://www.pyszne.pl/menu/pizzeria-u-batmana,Włoska,271,Od 11:00,"4,00 zł","Min. 25,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
CALZONE Pizza & Pierogi,https://www.pyszne.pl/menu/calzone-pizza-pierogi,"Włoska, Pierogi, Pizza",1288,Od 13:00,"5,00 zł","Min. 30,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Botanika,https://www.pyszne.pl/menu/botanika,"Wegetariańska, Dania na lunch",20,Od 11:00,"19,99 zł","Min. 30,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Kyoto Sushi,https://www.pyszne.pl/menu/kyoto-sushi,"Sushi, Japońska",238,Od 11:00,"45,00 zł","Min. 50,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
W Międzyczasie Coffee & Restaurant,https://www.pyszne.pl/menu/w-miedzyczasie-coffee-restaurant,"Makarony, Pizza, Zupy",142,ok.50min,"7,00 zł","Min. 30,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Telepizza,https://www.pyszne.pl/menu/telepizza-tychy,"Włoska, Pizza",275,Od 12:00,GRATIS,"Min. 28,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Todojutra Kultowe Zapiexy,https://www.pyszne.pl/menu/todojutra-kultowe-zapiexy,"Włoska, Wegetariańska, Polska",584,Od 11:00,"5,00 zł","Min. 35,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
City Sushi,https://www.pyszne.pl/menu/city-sushi,"Sushi, Japońska",202,Od 12:00,"20,00 zł","Min. 70,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Niebo w Gębie,https://www.pyszne.pl/menu/niebo-w-gebie-tychy,"Kanapki, Dania na lunch, Zupy",88,Od 12:00,"4,00 zł","Min. 20,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
Dom Przyjęć Okolicznościowych Hubertus,https://www.pyszne.pl/menu/dom-przyjec-okolicznosciowych-hubertus,"Polska, Dania na lunch",41,ok.40min,GRATIS,"Min. 30,00 zł",28/07/2020 14:14:30,28/07/2020 14:14:30
