Limu Poke,Pokes,,,"$ 76,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:14,4/11/2020 10:14
,,,,,,,,,,,,,
Hamburga,Hamburguesas,,,"$ 88,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:14,4/11/2020 10:14
,,,,,,,,,,,,,
Dragon Chinnese Food,"Asiática,",Pollo,,"$ 99,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:15,4/11/2020 10:15
,,,,,,,,,,,,,
Al Zein,Árabe,,,"$ 117,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:15,4/11/2020 10:15
,,,,,,,,,,,,,
La Dorita,Asado,,,"$ 151,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:16,4/11/2020 10:16
,,,,,,,,,,,,,
Lo de JesÃºs,Asado,,,"$ 88,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:16,4/11/2020 10:16
,,,,,,,,,,,,,
Rapanui,"Postres,",Helados,,"$ 99,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:16,4/11/2020 10:16
,,,,,,,,,,,,,
Campobravo,Asado,,,"$ 117,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:17,4/11/2020 10:17
,,,,,,,,,,,,,
Romario,"Empanadas,",Pizza,,"$ 88,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:17,4/11/2020 10:17
,,,,,,,,,,,,,
Dean & Dennys,Hamburguesas,,,"$ 127,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:18,4/11/2020 10:18
,,,,,,,,,,,,,
Buenos Aires Verde,"Vegetariana,",Italiana,,"$ 65,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:18,4/11/2020 10:18
,,,,,,,,,,,,,
Urban Jazz Pizza,Pizza,,,"$ 99,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:19,4/11/2020 10:19
,,,,,,,,,,,,,
La hija del carnicero,Asado,,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:19,4/11/2020 10:19
,,,,,,,,,,,,,
Mi Rey Comida China,Asiática,,,"$ 155,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:20,4/11/2020 10:20
,,,,,,,,,,,,,
El Noble,Empanadas,,,"$ 155,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:20,4/11/2020 10:20
,,,,,,,,,,,,,
Kansas,Asado,,,"$ 100,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:20,4/11/2020 10:20
,,,,,,,,,,,,,
McDonald's,Hamburguesas,,,"$ 99,00",33 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:21,4/11/2020 10:21
,,,,,,,,,,,,,
Il Quotidiano,Italiana,,,"$ 127,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:21,4/11/2020 10:21
,,,,,,,,,,,,,
El Club de la Milanesa,Milanesas,,,"$ 89,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:22,4/11/2020 10:22
,,,,,,,,,,,,,
Kanu Sushi,Sushi,,,"$ 99,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:26,4/11/2020 10:26
,,,,,,,,,,,,,
Hana Poke & Bar,Pokes,,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:26,4/11/2020 10:26
,,,,,,,,,,,,,
Oggi Pasta e Birra,Italiana,,,"$ 87,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:27,4/11/2020 10:27
,,,,,,,,,,,,,
La FÃ¡brica del Taco,Mexicana,,,"$ 77,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:27,4/11/2020 10:27
,,,,,,,,,,,,,
"Nazca, Sabores del PerÃº","Pollo,",Peruana,,"$ 110,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:28,4/11/2020 10:28
,,,,,,,,,,,,,
Nueva Casita China,"Asiática,",Pollo,,"$ 99,00",26 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:28,4/11/2020 10:28
,,,,,,,,,,,,,
Maja JamonerÃ­a,"Sándwiches,",Asado,,"$ 88,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:28,4/11/2020 10:28
,,,,,,,,,,,,,
El Cisne Blanco,"Asiática,",Pollo,,"$ 155,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:29,4/11/2020 10:29
,,,,,,,,,,,,,
Sale e Pepe,"Empanadas,",Saludable,,"$ 135,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:29,4/11/2020 10:29
,,,,,,,,,,,,,
Otaku Sushi,Sushi,,,"$ 99,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:30,4/11/2020 10:30
,,,,,,,,,,,,,
Green Moment,Sushi,,,"$ 87,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:30,4/11/2020 10:30
,,,,,,,,,,,,,
La Crespo,Sándwiches,,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:31,4/11/2020 10:31
,,,,,,,,,,,,,
Chicken Bros,Pollo,,,"$ 76,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:31,4/11/2020 10:31
,,,,,,,,,,,,,
Naturally,Saludable,,,"$ 135,00",30 min,5,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:32,4/11/2020 10:32
,,,,,,,,,,,,,
Pizza Alla Pala,Pizza,,,"$ 110,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:32,4/11/2020 10:32
,,,,,,,,,,,,,
La Panotteca,Milanesas,,,"$ 127,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:33,4/11/2020 10:33
,,,,,,,,,,,,,
Schwartz & Berg,Sándwiches,,,"$ 77,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:33,4/11/2020 10:33
,,,,,,,,,,,,,
Roll'in Lui,"Saludable,",Vegetariana,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:34,4/11/2020 10:34
,,,,,,,,,,,,,
SÃ¡ndwicherÃ­a NuestraMiga,Vegetariana,,,"$ 87,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:34,4/11/2020 10:34
,,,,,,,,,,,,,
Let It V,"Sushi,","Pokes,",Vegetariana,"$ 112,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:35,4/11/2020 10:35
,,,,,,,,,,,,,
Tercera Docena,Empanadas,,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:35,4/11/2020 10:35
,,,,,,,,,,,,,
Kevin Bacon,Hamburguesas,,,"$ 100,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:35,4/11/2020 10:35
,,,,,,,,,,,,,
Poke & Roll,Pokes,,,"$ 117,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:36,4/11/2020 10:36
,,,,,,,,,,,,,
Arredondo,Hamburguesas,,,"$ 127,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:36,4/11/2020 10:36
,,,,,,,,,,,,,
The WrapÃ©e,Saludable,,,"$ 76,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:37,4/11/2020 10:37
,,,,,,,,,,,,,
CÃ¡rtago,Árabe,,,"$ 99,00",24 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:37,4/11/2020 10:37
,,,,,,,,,,,,,
El Estanciero,Asado,,,"$ 117,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:38,4/11/2020 10:38
,,,,,,,,,,,,,
Dalal,Árabe,,,"$ 135,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:38,4/11/2020 10:38
,,,,,,,,,,,,,
Pollos Trak,Pollo,,,"$ 135,00",38 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:39,4/11/2020 10:39
,,,,,,,,,,,,,
Jolie BistrÃ³,Asiática,,,"$ 135,00",50 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:39,4/11/2020 10:39
,,,,,,,,,,,,,
Sheikob's Bagels,"Sándwiches,",Desayunos y Meriendas,,"$ 77,00",36 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:40,4/11/2020 10:40
,,,,,,,,,,,,,
Petit Green,"Saludable,",Desayunos y Meriendas,,"$ 151,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:40,4/11/2020 10:40
,,,,,,,,,,,,,
Nola,Pollo,,,"$ 99,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:41,4/11/2020 10:41
,,,,,,,,,,,,,
SultÃ¡n Shawarma,Árabe,,,"$ 135,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:41,4/11/2020 10:41
,,,,,,,,,,,,,
Crepas,Saludable,,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:42,4/11/2020 10:42
,,,,,,,,,,,,,
Parrilla Los Nietos,"Milanesas,",Asado,,"$ 110,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:42,4/11/2020 10:42
,,,,,,,,,,,,,
KOI Beer & Dumplings,Asiática,,,"$ 112,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:43,4/11/2020 10:43
,,,,,,,,,,,,,
La Guitarrita,"Pizza,",Empanadas,,"$ 105,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:43,4/11/2020 10:43
,,,,,,,,,,,,,
Mark's Deli & Coffee House,"Saludable,","Sándwiches,",Desayunos y Meriendas,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:44,4/11/2020 10:44
,,,,,,,,,,,,,
The Burger Company,Hamburguesas,,,"$ 112,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:44,4/11/2020 10:44
,,,,,,,,,,,,,
Big Pons,Hamburguesas,,,"$ 89,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:45,4/11/2020 10:45
,,,,,,,,,,,,,
Harina Pizzas & Empanadas,"Pizza,",Empanadas,,"$ 88,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:45,4/11/2020 10:45
,,,,,,,,,,,,,
Burger Joint,Hamburguesas,,,"$ 88,00",21 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:45,4/11/2020 10:45
,,,,,,,,,,,,,
The Night Market,"Pollo,",Vegetariana,,"$ 65,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:46,4/11/2020 10:46
,,,,,,,,,,,,,
Maru Botana,Postres,,,"$ 135,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:46,4/11/2020 10:46
,,,,,,,,,,,,,
Tiendas Naturales,"Sándwiches,",Vegetariana,,"$ 127,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:47,4/11/2020 10:47
,,,,,,,,,,,,,
Heisenburger,Hamburguesas,,,"$ 77,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:48,4/11/2020 10:48
,,,,,,,,,,,,,
DoÃ±a Cocina,"Postres,",Italiana,,"$ 117,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:48,4/11/2020 10:48
,,,,,,,,,,,,,
Shawarma Al Ãrabe,Árabe,,,"$ 100,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:49,4/11/2020 10:49
,,,,,,,,,,,,,
Mar de azÃºcar,Saludable,,,"$ 99,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:49,4/11/2020 10:49
,,,,,,,,,,,,,
Salgado Alimentos,Italiana,,,"$ 99,00",44 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:49,4/11/2020 10:49
,,,,,,,,,,,,,
Artemisia,"Saludable,",Vegetariana,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:50,4/11/2020 10:50
,,,,,,,,,,,,,
Coco CafÃ©,"Café,",Postres,,"$ 105,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:50,4/11/2020 10:50
,,,,,,,,,,,,,
Tostado CafÃ© Club,"Café,","Saludable,",Desayunos y Meriendas,"$ 155,00",30 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:51,4/11/2020 10:51
,,,,,,,,,,,,,
KFC,"Pollo,",Hamburguesas,,"$ 112,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:51,4/11/2020 10:51
,,,,,,,,,,,,,
RotiserÃ­a Camila,Milanesas,,,"$ 105,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:52,4/11/2020 10:52
,,,,,,,,,,,,,
Paru Deli Inkas Sushi,"Peruana,",Sushi,,"$ 127,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:52,4/11/2020 10:52
,,,,,,,,,,,,,
Hell's Pizza,Pizza,,,"$ 89,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:53,4/11/2020 10:53
,,,,,,,,,,,,,
Mi Barrio,Hamburguesas,,,"$ 110,00",31 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:53,4/11/2020 10:53
,,,,,,,,,,,,,
Dogg,Hamburguesas,,,"$ 77,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:54,4/11/2020 10:54
,,,,,,,,,,,,,
Parrilla Laureana,Asado,,,"$ 151,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:54,4/11/2020 10:54
,,,,,,,,,,,,,
Del Fino Dulce,"Postres,",Desayunos y Meriendas,,"$ 99,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:55,4/11/2020 10:55
,,,,,,,,,,,,,
Benaim,"Árabe,",Milanesas,,"$ 110,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:55,4/11/2020 10:55
,,,,,,,,,,,,,
Chori,Argentina,,,"$ 88,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:56,4/11/2020 10:56
,,,,,,,,,,,,,
Fat Broder,Hamburguesas,,,"$ 117,00",46 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:56,4/11/2020 10:56
,,,,,,,,,,,,,
Desarmadero,Empanadas,,,"$ 99,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:57,4/11/2020 10:57
,,,,,,,,,,,,,
Empanadas Gourmet,Empanadas,,,"$ 117,00",44 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:57,4/11/2020 10:57
,,,,,,,,,,,,,
Dashi,Sushi,,,"$ 127,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:58,4/11/2020 10:58
,,,,,,,,,,,,,
MagalÃ­ Empanadas,"Empanadas,",Pizza,,"$ 127,00",30 min,4.9,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:58,4/11/2020 10:58
,,,,,,,,,,,,,
RotiserÃ­a Casa China,"Asiática,",Pollo,,"$ 87,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:59,4/11/2020 10:59
,,,,,,,,,,,,,
Ju,Vegetariana,,,"$ 151,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 10:59,4/11/2020 10:59
,,,,,,,,,,,,,
Urbano Cocina Americana,"Mexicana,",Asado,,"$ 71,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:00,4/11/2020 11:00
,,,,,,,,,,,,,
Lio San Restaurant Chifa,"Pollo,",Peruana,,"$ 155,00",30 min,4.8,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:00,4/11/2020 11:00
,,,,,,,,,,,,,
Rice and Shine,"Asiática,",Pollo,,"$ 110,00",30 min,4.5,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:00,4/11/2020 11:00
,,,,,,,,,,,,,
Williamsburg,Hamburguesas,,,"$ 100,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:01,4/11/2020 11:01
,,,,,,,,,,,,,
Wendy's,Hamburguesas,,,"$ 135,00",43 min,4.6,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:02,4/11/2020 11:02
,,,,,,,,,,,,,
Just Green,"Pokes,",Sushi,,"$ 99,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:02,4/11/2020 11:02
,,,,,,,,,,,,,
La Boheme - Crepes & Bagels,"Sándwiches,","Saludable,",Desayunos y Meriendas,"$ 88,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:02,4/11/2020 11:02
,,,,,,,,,,,,,
Vurguesa,"Vegetariana,",Hamburguesas,,"$ 87,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:03,4/11/2020 11:03
,,,,,,,,,,,,,
Gourmet de Shangai,Asiática,,,"$ 99,00",30 min,4.5,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:03,4/11/2020 11:03
,,,,,,,,,,,,,
Quiero! Empanadas,Empanadas,,,"$ 76,00",30 min,4.7,Buenos Aires,BUE,Argentina,AR,Rappi,4/11/2020 11:04,4/11/2020 11:04
,,,,,,,,,,,,,
