Competitor ,Country_code,City_code,hex7_tag,Restaurant Name,,,Food tag 1,Schdeule,Min. Order Price,Delivery Cost,Restaurant Link,Created_at,Updated_at
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Food Point Dumbravita,,,Italian ,Închide la 22:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/food-point-dumbravita/3627/partener,30/10/2020 13:15:03,30/10/2020 13:15:03
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Guau Cafe y Pan,,,InternaÈ›ional ,Închide la 19:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/guau-cafe-y-pan/1766/partener,30/10/2020 13:15:04,30/10/2020 13:15:04
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Statia de Cafea,,,InternaÈ›ional ,Închide la 15:30,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/statia-de-cafea/1720/partener,30/10/2020 13:15:04,30/10/2020 13:15:04
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Brunch To Go 700,,,InternaÈ›ional ,Închide la 18:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/brunch-to-go-700/3121/partener,30/10/2020 13:15:05,30/10/2020 13:15:05
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Neata Omelette Bistro Iulius Mall,,,InternaÈ›ional ,Închide la 19:45,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/neata-omelette-bistro-iulius-mall/3153/partener,30/10/2020 13:15:06,30/10/2020 13:15:06
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Donna Anna Cuisine Giroc,,,InternaÈ›ional ,Deschide la 10:00,FALSE,4.99  Lei,https://tazz.ro/timisoara/donna-anna-cuisine-giroc/4203/partener,30/10/2020 13:15:07,30/10/2020 13:15:07
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Donna Anna Cuisine,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/donna-anna-cuisine/4201/partener,30/10/2020 13:15:08,30/10/2020 13:15:08
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Urban King,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/urban-king/1717/partener,30/10/2020 13:15:09,30/10/2020 13:15:09
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Trio Giroc,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/trio-giroc/4083/partener,30/10/2020 13:15:10,30/10/2020 13:15:10
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Pizzeria Cora,,,InternaÈ›ional ,Deschide la 10:00,FALSE,Free Delivery,https://tazz.ro/timisoara/pizzeria-cora/3957/partener,30/10/2020 13:15:11,30/10/2020 13:15:11
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,McDonaldâ€™s Stadion Timisoara,,,American ,Deschide la 10:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/mcdonald-s-stadion-timisoara/1415/partener,30/10/2020 13:15:12,30/10/2020 13:15:12
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Ribs Grill Delivery,,,InternaÈ›ional ,Deschide la 10:00,50.00 Lei,4.99  Lei,https://tazz.ro/timisoara/ribs-grill-delivery/3991/partener,30/10/2020 13:15:13,30/10/2020 13:15:13
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Anturaj,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/anturaj/417/partener,30/10/2020 13:15:14,30/10/2020 13:15:14
,,,,,,,,,,,,,
