Competitor ,Country_code,City_code,hex7_tag,Restaurant Name,Ratings,Number of reviews,Food tag 1,Schdeule,Min. Order Price,Delivery Cost,Restaurant Link,Created_at,Updated_at
tazz.ro,RO,TIM,871e19285ffffff,Donna Anna Cuisine Giroc,0,2,InternaÈ›ional ,Închide la 20:00,FALSE,4.99  Lei,https://tazz.ro/timisoara/donna-anna-cuisine-giroc/4203/partener,30/10/2020 17:21:06,30/10/2020 17:21:06
tazz.ro,RO,TIM,871e19285ffffff,Donna Anna Cuisine,4.9,16,InternaÈ›ional ,Închide la 20:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/donna-anna-cuisine/4201/partener,30/10/2020 17:21:07,30/10/2020 17:21:07
tazz.ro,RO,TIM,871e19285ffffff,Urban King,4.8,695,InternaÈ›ional ,Închide la 21:45,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/urban-king/1717/partener,30/10/2020 17:21:08,30/10/2020 17:21:08
tazz.ro,RO,TIM,871e19285ffffff,Pizzeria Cora,4.7,70,InternaÈ›ional ,Deschis,FALSE,Free Delivery,https://tazz.ro/timisoara/pizzeria-cora/3957/partener,30/10/2020 17:21:09,30/10/2020 17:21:09
tazz.ro,RO,TIM,871e19285ffffff,Trio Giroc,4.7,73,InternaÈ›ional ,Închide la 22:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/trio-giroc/4083/partener,30/10/2020 17:21:10,30/10/2020 17:21:10
tazz.ro,RO,TIM,871e19285ffffff,Sky Restaurant,4.6,14,InternaÈ›ional ,Închide la 22:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sky-restaurant/3932/partener,30/10/2020 17:21:11,30/10/2020 17:21:11
tazz.ro,RO,TIM,871e19285ffffff,McDonaldâ€™s Stadion Timisoara,4.6,1030,American ,Închide la 21:30,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/mcdonald-s-stadion-timisoara/1415/partener,30/10/2020 17:21:12,30/10/2020 17:21:12
tazz.ro,RO,TIM,871e19285ffffff,Ribs Grill Delivery,4.6,222,InternaÈ›ional ,Închide la 21:45,50.00 Lei,4.99  Lei,https://tazz.ro/timisoara/ribs-grill-delivery/3991/partener,30/10/2020 17:21:13,30/10/2020 17:21:13
tazz.ro,RO,TIM,871e19285ffffff,Anturaj,4.5,134,InternaÈ›ional ,Închide la 21:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/anturaj/417/partener,30/10/2020 17:21:14,30/10/2020 17:21:14
tazz.ro,RO,TIM,871e19285ffffff,Ricci Delivery,4.4,736,InternaÈ›ional ,Închide la 23:45,20.00 Lei,4.99  Lei,https://tazz.ro/timisoara/ricci-delivery/141/partener,30/10/2020 17:21:15,30/10/2020 17:21:15
tazz.ro,RO,TIM,871e19285ffffff,Fresh Kebab Centru,4.2,3305,InternaÈ›ional ,Închide la 21:45,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/fresh-kebab-centru/199/partener,30/10/2020 17:21:16,30/10/2020 17:21:16
tazz.ro,RO,TIM,871e19285ffffff,3F,4.2,1141,RomÃ¢nesc ,Închide la 18:00,30.00 Lei,Free Delivery,https://tazz.ro/timisoara/3f/1072/partener,30/10/2020 17:21:17,30/10/2020 17:21:17
