Competitor,Sourcing_competitor,Restaurant_name,Tag,Average_basket_value,Min. Order,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website, URL,Opening_hours,Delivery_charges
Tazz,sourcing_tazz,Pizza by Ribs Grill,InternaÈ›ional ,N/A,40 00 Lei,Romania,Timisoara,TIM,"Str. Martin Nicoara Elena, Nr. 3",N/A,45.75324307,21.23646541,N/A,4.7,14,https://www.tazz.ro,https://tazz.ro/timisoara/pizza-by-ribs-grill/5132/partener,"Marți  10:00 - 21:45
Miercuri  10:00 - 21:45
Joi  10:00 - 21:45
Vineri  11:00 - 23:45
Sâmbătă  11:00 - 23:45
","6 99 								Lei"
Tazz,sourcing_tazz,Al Caminetto,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Salcamilor, Nr. 32",N/A,45.75324307,21.23646541,N/A,4.9,370,https://www.tazz.ro,https://tazz.ro/timisoara/al-caminetto/4297/partener,"Luni  11:00 - 21:30
Marți  11:00 - 21:30
Miercuri  11:00 - 21:30
Joi  11:00 - 21:30
Vineri  11:00 - 21:30
Sâmbătă  11:00 - 21:30
Duminică  11:00 - 21:30
","6 99 								Lei"
Tazz,sourcing_tazz,Vegline,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Str.Francesco Griselini Nr.2,N/A,45.75324307,21.23646541,N/A,4.9,46,https://www.tazz.ro,https://tazz.ro/timisoara/vegline/4349/partener,"Luni  10:30 - 15:30
Marți  10:30 - 15:30
Miercuri  10:30 - 15:30
Joi  10:30 - 15:30
Vineri  10:30 - 15:30
","6 99 								Lei"
Tazz,sourcing_tazz,Kunde,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Str. Gheorghe Lazar Nr. 26 ( Langa Kaufland ),N/A,45.75324307,21.23646541,N/A,4.9,59,https://www.tazz.ro,https://tazz.ro/timisoara/kunde/4899/partener,"Luni  11:00 - 19:45
Marți  11:00 - 19:45
Miercuri  11:00 - 19:45
Joi  11:00 - 19:45
Vineri  11:00 - 19:45
Sâmbătă  13:00 - 19:45
","6 99 								Lei"
Tazz,sourcing_tazz,Ribs Grill Delivery,InternaÈ›ional ,N/A,40 00 Lei,Romania,Timisoara,TIM,"Str. Martin Nicoara Elena, Nr. 3",N/A,45.75324307,21.23646541,N/A,4.8,718,https://www.tazz.ro,https://tazz.ro/timisoara/ribs-grill-delivery/3991/partener,"Marți  10:00 - 21:45
Miercuri  10:00 - 21:45
Joi  10:00 - 21:45
Vineri  11:00 - 23:45
Sâmbătă  11:00 - 23:45
","6 99 								Lei"
Tazz,sourcing_tazz,Music Pizza,InternaÈ›ional ,N/A,29 99 Lei,Romania,Timisoara,TIM,Calea Torontalului nr. 1A,N/A,45.75324307,21.23646541,N/A,4.8,38,https://www.tazz.ro,https://tazz.ro/timisoara/music-pizza/4761/partener,"Luni  11:00 - 24:00
Marți  11:00 - 24:00
Miercuri  11:00 - 24:00
Joi  11:00 - 24:00
Vineri  11:00 - 24:00
Sâmbătă  11:00 - 24:00
Duminică  11:00 - 24:00
","4 99 								Lei"
Tazz,sourcing_tazz,Epic Burgery,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Miresei, nr.1",N/A,45.75324307,21.23646541,N/A,4.8,79,https://www.tazz.ro,https://tazz.ro/timisoara/epic-burgery/4820/partener,"Luni  11:00 - 21:30
Marți  11:00 - 21:30
Miercuri  11:00 - 21:30
Joi  11:00 - 21:30
Vineri  11:00 - 21:30
Sâmbătă  11:00 - 21:30
Duminică  11:00 - 21:30
","6 99 								Lei"
Tazz,sourcing_tazz,La Padure,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Avram Imbroane, Nr.90",N/A,45.75324307,21.23646541,N/A,4.8,110,https://www.tazz.ro,https://tazz.ro/timisoara/la-padure/4568/partener,"Luni  11:00 - 20:00
Marți  10:00 - 18:00
Miercuri  10:00 - 18:00
Joi  11:00 - 20:00
Vineri  11:00 - 20:00
Sâmbătă  11:00 - 20:00
Duminică  11:00 - 20:00
","6 99 								Lei"
Tazz,sourcing_tazz,Grill Sarbesc Pub,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Piata Unirii, nr.4",N/A,45.75324307,21.23646541,N/A,4.7,338,https://www.tazz.ro,https://tazz.ro/timisoara/grill-sarbesc-pub/1774/partener,"Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
Duminică  11:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Trio Giroc,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Semenic, Nr. 22",N/A,45.75324307,21.23646541,N/A,4.7,568,https://www.tazz.ro,https://tazz.ro/timisoara/trio-giroc/4083/partener,"Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
Duminică  12:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Zaza Resto Pub,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,blv.Vasile Parvan nr. 9,N/A,45.75324307,21.23646541,N/A,4.7,199,https://www.tazz.ro,https://tazz.ro/timisoara/zaza-resto-pub/4326/partener,"Luni  10:00 - 20:00
Marți  10:00 - 20:00
Miercuri  10:00 - 20:00
Joi  10:00 - 20:00
Vineri  10:00 - 20:00
Sâmbătă  11:00 - 20:00
Duminică  11:00 - 20:00
","6 99 								Lei"
Tazz,sourcing_tazz,Restaurant Merlot,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Splaiul Nistrului nr. 1,N/A,45.75324307,21.23646541,N/A,4.7,174,https://www.tazz.ro,https://tazz.ro/timisoara/restaurant-merlot/108/partener,"Luni  11:00 - 20:30
Marți  11:00 - 20:30
Miercuri  11:00 - 20:30
Joi  11:00 - 20:30
Vineri  11:00 - 20:30
Sâmbătă  11:00 - 20:30
Duminică  11:00 - 20:30
","6 99 								Lei"
Tazz,sourcing_tazz,Donna Anna Cuisine,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Strada GOSPODARILOR NR 13,N/A,45.75324307,21.23646541,N/A,4.7,168,https://www.tazz.ro,https://tazz.ro/timisoara/donna-anna-cuisine/4201/partener,"Luni  10:00 - 16:00
Marți  10:00 - 16:00
Miercuri  10:00 - 16:00
Joi  10:00 - 16:00
Vineri  10:00 - 16:00
","6 99 								Lei"
