Competitor,Sourcing_competitor,Restaurant_name,Tags,Average_basket_value,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website,URL,Takeaway,Delivery
Yelp,sourcing_yelp,Casa Antonio,Tapas Bars,NA,Spain,RincÃ³n de la Victoria,RIV,"Calle Córdoba, 829730 Rincón de la Victoria",NA,NA,NA,646 792 477,3.5,5 reviews,https://www.yelp.com,https://www.yelp.com/biz/casa-antonio-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,La Biznaga,"Spanish, Cafeteria",NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterraneo, 22429730 Rincón de la Victoria",NA,NA,NA,952 005 513,4.5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-biznaga-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,El Cuartel Chiringuito,Spanish,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida de la Torre, 8029730 Rincón de la Victoria",NA,NA,NA,665 240 766,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/el-cuartel-chiringuito-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Aquí Mismo,"Seafood, Beach Bars",NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo Marítimo Virgen del Carmen, 329730 Torre de Benagalbón",NA,NA,NA,625 782 136,4.5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/aqu%C3%AD-mismo-torre-de-benagalb%C3%B3n-2,NA,NA
Yelp,sourcing_yelp,Los Pinos,Seafood,NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo de la Marina, s/n29730 Torre de Benagalbón",NA,NA,NA,NA,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/los-pinos-torre-de-benagalb%C3%B3n,NA,NA
Yelp,sourcing_yelp,La Terraza,Tapas Bars,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterráneo, 5729730 Rincón de la Victoria",NA,NA,NA,NA,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/la-terraza-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Tuk Tuk Noodles,Noodles,NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo de la Marina, 12329730 Rincón de la Victoria",NA,NA,NA,952 401 496,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/tuk-tuk-noodles-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Nueve Dragones,Chinese,NA,Spain,RincÃ³n de la Victoria,RIV,"Av Virgen de la Candelaria, 2229730 Málaga",NA,NA,NA,952 970 735,4.5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/nueve-dragones-m%C3%A1laga,NA,NA
Yelp,sourcing_yelp,Noodle Bar,Wok,NA,Spain,RincÃ³n de la Victoria,RIV,C.C. Rincón de la victoriaCalle de Granada29730 Rincón de la Victoria,NA,NA,NA,NA,4,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/noodle-bar-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Los Campanillas,Mediterranean,NA,Spain,RincÃ³n de la Victoria,RIV,Avenida del Mediterraneo 12029730 Rincon de la Victoria,NA,NA,NA,952 403 799,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/los-campanillas-rincon-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Morabeza,"Beach Bars, Mediterranean",NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo Marítimo Virgen del Carmen, 1229730 Torre de Benagalbón",NA,NA,NA,951 914 748,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/morabeza-torre-de-benagalb%C3%B3n,NA,NA
Yelp,sourcing_yelp,La Bodeguita del Mar,"Mediterranean, Arroceria / Paella",NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo Maritimo Virgen del Carmen, 16829730 Rincón de la Victoria",NA,NA,NA,697 904 911,3,1 review,https://www.yelp.com,https://www.yelp.com/biz/la-bodeguita-del-mar-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Atalaya,"Mediterranean, Seafood, Steakhouses",NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo Marítimo Virgen del Carmen, s/n29730 Rincón de la Victoria",NA,NA,NA,952 403 122,3.5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/atalaya-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Con Otro Aire,Spanish,NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo Maritimo Virgen del Carmen, s/n29730 Rincón de la Victoria",NA,NA,NA,675 596 965,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/con-otro-aire-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Lucena II,"Spanish, Seafood",NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida de la Torre, s/nTorre de Benagalbón, Málaga",NA,NA,NA,952 440 257,3.5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/lucena-ii-torre-de-benagalb%C3%B3n,NA,NA
